@relation exp_3_kmeans_5_7_g1

@attribute temp_media numeric
@attribute 2006 numeric
@attribute 2007 numeric
@attribute 2008 numeric
@attribute 2009 numeric
@attribute 2010 numeric
@attribute 2011 numeric
@attribute 2012 numeric
@attribute 2013 numeric
@attribute 2014 numeric
@attribute 2015 numeric
@attribute 2016 numeric
@attribute 2017 numeric
@attribute 2018 numeric
@attribute 2019 numeric
@attribute sis_cost_Pertence {0,1}
@attribute sis_cost_n_pertence {0,1}
@attribute sis_cost_pertence {0,1}
@attribute bioma_amazonia {0,1}
@attribute bioma_amazonia_cerrado {0,1}
@attribute bioma_amazonia_cerrado_pantanal {0,1}
@attribute bioma_amazonia_pantanal {0,1}
@attribute bioma_caatinga {0,1}
@attribute bioma_caatinga_cerrado {0,1}
@attribute bioma_caatinga_cerrado_mata_atlantica {0,1}
@attribute bioma_caatinga_mata_atlantica {0,1}
@attribute bioma_cerrado {0,1}
@attribute bioma_cerrado_mata_atlantica {0,1}
@attribute bioma_cerrado_pantanal {0,1}
@attribute bioma_mata_atlantica {0,1}
@attribute bioma_mata_atlantica_pampa {0,1}
@attribute bioma_pampa {0,1}
@attribute bioma_pantanal {0,1}
@attribute fx_area_grande {0,1}
@attribute fx_area_media {0,1}
@attribute fx_area_muito_pequena {0,1}
@attribute fx_area_pequena {0,1}
@attribute fx_pop_alto {0,1}
@attribute fx_pop_baixa {0,1}
@attribute fx_pop_media {0,1}
@attribute fx_pop_muito_alta {0,1}
@attribute fx_pop_muito_baixa {0,1}
@attribute categoria_2020 {baixo,medio,alto}

@data
0.529412,0.000437,0.00045,0.000458,0.000474,0.000491,0.000497,0.000524,0.000533,0.000602,0.000691,0.000698,0.000722,0.00075,0.000776,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,medio
0.529412,0.003798,0.004279,0.004675,0.00513,0.005566,0.005867,0.006252,0.006872,0.007846,0.008972,0.009382,0.009871,0.010426,0.010929,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,alto
0.529412,0.000546,0.000644,0.000727,0.000817,0.000903,0.000965,0.001056,0.001139,0.001312,0.001548,0.00161,0.001702,0.001806,0.001901,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,alto
0.529412,0.00089,0.000944,0.000985,0.001043,0.001099,0.001131,0.001176,0.001281,0.001439,0.001616,0.001675,0.001745,0.001827,0.0019,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,alto
0.529412,0.000018,0.000034,0.000048,0.000061,0.000074,0.000084,0.000094,0.000112,0.00013,0.000153,0.000165,0.000178,0.000192,0.000204,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,medio
0.529412,0.000277,0.000343,0.0004,0.000459,0.000515,0.000557,0.000607,0.000684,0.000775,0.000916,0.000962,0.001021,0.001087,0.001148,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,alto
0.529412,0.000309,0.000317,0.000322,0.000333,0.000344,0.000348,0.000368,0.00037,0.000416,0.000484,0.000486,0.000501,0.000521,0.000538,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,medio
0.529412,0.000056,0.000086,0.000111,0.000136,0.00016,0.000179,0.0002,0.000228,0.000271,0.000314,0.000337,0.000361,0.000387,0.000412,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,medio
0.529412,0.001089,0.001085,0.001074,0.001086,0.001099,0.001093,0.001109,0.001162,0.001266,0.001414,0.001426,0.001458,0.0015,0.001535,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,alto
0.529412,0.000071,0.000089,0.000105,0.000121,0.000137,0.000149,0.000159,0.000183,0.000218,0.000239,0.000259,0.000275,0.000293,0.00031,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,medio
0.529412,0.04071,0.041157,0.041267,0.042207,0.043185,0.04332,0.044936,0.046153,0.050951,0.058348,0.058608,0.060252,0.062324,0.064101,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,alto
0.529412,0.000279,0.000307,0.00033,0.000357,0.000383,0.0004,0.000432,0.000457,0.000509,0.000612,0.000623,0.000653,0.000688,0.000719,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,medio
0.529412,0.000071,0.00008,0.000086,0.000094,0.000101,0.000106,0.000112,0.000124,0.000141,0.00016,0.000168,0.000176,0.000186,0.000194,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,medio
0.529412,0.001464,0.001556,0.001627,0.001724,0.001819,0.001874,0.00196,0.002111,0.002393,0.002689,0.002785,0.002903,0.00304,0.003162,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,alto
0.529412,0.000667,0.000826,0.000961,0.001102,0.001237,0.001339,0.001476,0.001628,0.001828,0.002227,0.002309,0.002451,0.00261,0.002755,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,alto
0.529412,0.000927,0.001005,0.001068,0.001146,0.001222,0.00127,0.001353,0.001442,0.001626,0.001891,0.001943,0.002033,0.002136,0.002229,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,alto
0.529412,0.000802,0.000835,0.000858,0.000896,0.000934,0.000952,0.000993,0.001054,0.001174,0.001337,0.001367,0.001417,0.001478,0.001531,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,alto
0.647059,0.004199,0.004238,0.004242,0.004333,0.004428,0.004437,0.004512,0.004812,0.005885,0.007478,0.008126,0.008619,0.008573,0.009081,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,alto
0.647059,0.000518,0.000652,0.000767,0.000886,0.000999,0.001085,0.001181,0.001335,0.001473,0.001601,0.001826,0.001907,0.001897,0.001982,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,alto
0.647059,0.000397,0.000392,0.000385,0.000386,0.000658,0.000896,0.001128,0.001413,0.001529,0.001606,0.0019,0.001995,0.001984,0.002083,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,alto
0.647059,0.000602,0.000814,0.000996,0.001181,0.001357,0.001494,0.001642,0.001871,0.002006,0.002535,0.002725,0.002861,0.002846,0.002987,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,alto
0.647059,0.000168,0.000274,0.000365,0.000456,0.000658,0.000832,0.001004,0.001225,0.001165,0.001508,0.001676,0.001768,0.001759,0.001854,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,alto
0.647059,0.002209,0.003283,0.004214,0.005143,0.006019,0.006718,0.007462,0.008568,0.012465,0.016617,0.019569,0.021452,0.021338,0.02324,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,alto
0.647059,0.000341,0.000413,0.000474,0.000539,0.000601,0.000647,0.000699,0.000786,0.00099,0.001224,0.0014,0.001502,0.001494,0.001597,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,alto
0.647059,0.000316,0.000375,0.000425,0.000479,0.00053,0.000568,0.000611,0.000684,0.000842,0.000942,0.001067,0.001125,0.001119,0.001179,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,alto
0.647059,0.000304,0.000286,0.000268,0.000257,0.000247,0.000234,0.000226,0.000229,0.000228,0.000234,0.000222,0.000214,0.000213,0.000205,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,medio
0.647059,0.000162,0.000191,0.000216,0.000242,0.000268,0.000287,0.000308,0.000345,0.000394,0.000404,0.000463,0.000481,0.000478,0.000497,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,medio
0.647059,0.000495,0.00055,0.000594,0.000647,0.000697,0.000731,0.000773,0.000853,0.001033,0.001155,0.001303,0.001371,0.001364,0.001435,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,alto
0.647059,0.000164,0.00016,0.000155,0.000154,0.000153,0.00015,0.000149,0.000156,0.000171,0.000187,0.000196,0.000199,0.000198,0.000202,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,medio
